restoID,restoName,restoContact,restoAddress,latLng,latitude,longitude,wilayahID
Blp15,Dapur Kito Lampung,82282718054,Jl. Gatot subroto no.32 bandar lampung,"-5.427634299999999, 105.2755191",-5.4276343,105.2755191,
Blp16,Nasi bakar bucik an,8972354378,Jl teuku umar no.85 penengahan bandarlampung,"-5.402635000000001, 105.259654",-5.402635,105.259654,
Blp17,Emah Cooking,89669340070,Way kandis Bandar lampung,"-5.353445499999999, 105.2867776",-5.3534455,105.2867776,
Blp18,Ramen meledak rajabasa,82289638943,"Jl. Teuku umar, kedaton, bandarlampung","-5.3854687, 105.2609671",-5.3854687,105.2609671,
Blp19,Kepiting nyeblak,81379773736,PU jl. Pagar alam gg. Lambing labuhan ratu kedaton bandarlampung,"-5.3816355, 105.2578061",-5.3816355,105.2578061,
Bdg6,Raja Sunda,226037688,Jl. Dr. Djunjunan No. 63,"-6.8970828, 107.5912691",-6.8970828,107.5912691,
Bdg7,Daun Pisang Gurame Goreng Garing,222037575,Jl. Dr. Setiabudi No. 154,"-6.8734126, 107.5963088",-6.8734126,107.5963088,
Bdg8,Alas Daun,227231101,Jl. Citarum No. 34,"-6.9016765, 107.625125",-6.9016765,107.625125,
Bdg9,Raja Rasa,222005070,"Jl. Setraria No.1, Sukasari, Bandung","-6.8798293, 107.5839423",-6.8798293,107.5839423,
Bdg10,Ayam Bakar & Maranggi Neng Katineung,87700302097,Jl. HMS Mintareja Sarjana Hukum No. 17,"-6.895788599999999, 107.5419343",-6.8957886,107.5419343,
Bdg11,Waroeng Setiabudhi (surabi dan baso kampung),222017895,"Jl. Setiabudi No. 175, Cidadap, Bandung","-6.8677589, 107.5935911",-6.8677589,107.5935911,
Bdg12,Batagor Haji Darto,89624418880,"Jl. Ir. H. Djuanda No. 202, Coblong, Bandung (tepat di dalam pasar simpang)","-6.884881999999999, 107.614193",-6.884882,107.614193,
Bdg13,Mie kocok mang dadeng,85221205070,"Jl. Kiai Haji Ahmad Dahlan No. 67 Lengkong, Bandung","-6.9344829, 107.6244316",-6.9344829,107.6244316,
Bdg14,Paviliun sunda,224267700,Jl. L. L. RE. Martadinata No. 97 Bandung,"-6.9055019, 107.6200986",-6.9055019,107.6200986,
Bdg15,Batagor Kingsley,224207104,"Jl. Veteran No. 25, kb Pisang, Kec. Sumur, Bandung","-6.9190333, 107.6153821",-6.9190333,107.6153821,
Bdg16,Gang Nikmat,85624545466,"Jl. Cihapit No. 6, Bandung","-6.9083343, 107.62175",-6.9083343,107.62175,
Bdg17,Ma' Uneh,222011859,"Jl. Setiabudi No. 156, Bandung","-6.873806300000001, 107.5961402",-6.8738063,107.5961402,
Bdg18,Seblak Abdul,0,"Jl. Bapa Husein No. 5a, kec. Coblong, Bandung","-6.8913186, 107.6034609",-6.8913186,107.6034609,
Bdg19,Resto sajian sunda Sambara,81224484598,"Jl. Trunojoyo No. 64, citarum, Kec.Bandung Wetan, Bandung","-6.9017405, 107.6159812",-6.9017405,107.6159812,
Bdg20,Cafe bali,227106147,"Jl. L. L. RE. Martadinata No. 211-214, Bandung","-6.913627, 107.6295",-6.913627,107.6295,
Bdg21,Dalaraos,222034004,Jl. Siliwangi No. 43,"-6.884550699999999, 107.6062351",-6.8845507,107.6062351,
Bdg22,Pasar Cisangkuy,227235509,"Jl. Cisangkuy No.64, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115","-6.902012099999999, 107.6214627",-6.9020121,107.6214627,
Bbr6,Warung Soto H. Anang Ayam Bapukah,5116261225,"Jl. A. Yani Kel. Loktabat Selatan, Kec. Banjarbaru Selatan, Kota Banjarbaru","-3.4430676, 114.8374651",-3.4430676,114.8374651,
Bbr7,Warung Dian,8125009313,"Jl. A. Yani, Kel. Guntung Payung, Kec. Landasan Ulin, Kota Banjar Baru","-3.4444358, 114.8164533",-3.4444358,114.8164533,
Bbr8,Warung Rahmat Queen,0,"Jl. A. Yani, Kel. Guntung Payung, Kec. Landasan Ulin, Kota Banjar Baru","-3.4444358, 114.8164533",-3.4444358,114.8164533,
Bbr9,Warung Berkah,81349300432,"Jl. Panglima Batur Timur, Kel. Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru","-3.439273, 114.8366712",-3.439273,114.8366712,
Bbr10,Mie Bancir Khas Banjar Ala Agus Sasirangan,0,"Jl. Panglima Batur No. 45, Kel. Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru","-3.438967, 114.8392538",-3.438967,114.8392538,
Bbr11,RM. Pondok Pisang,81348681121,"Jl. Karang Anyar 1 No. 20, Kel. Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru","-3.4346799, 114.8167488",-3.4346799,114.8167488,
Bbr12,RM. Sambal Acan Raja Banjar,85346050453,"Jl. A Yani Km. 35, Kec. Banjarbaru Selatan, Kota Banjarbaru","-3.4427633, 114.8342514",-3.4427633,114.8342514,
Bbr13,RM. Nasi Itik Tenda Biru Gambut,0,"Jl. A. Yani KM 14, Malintang Baru, Gambut, Kayu Bawang, Kec. Gambut, Banjar","-3.4107541, 114.6679866",-3.4107541,114.6679866,
Bbr14,RM. Sate H. Suri Budi Mulia,05114723323/85103409955,Jl. A. Yani Km. 40,"-2.4738649, 111.7715745",-2.4738649,111.7715745,
Bng1,Soto Krandegan Pak Aping,0813 2743 4131,"Jalan Mayjend Sutoyo No. 35, Banjarnegara Jawa Tengah.","-7.392974199999999, 109.6974738",-7.3929742,109.6974738,
Bng3,,0,"Mandiraja Kulon, Mandiraja, Banjarnegara, Jawa Tengah 53473","-7.4532681, 109.5181312",-7.4532681,109.5181312,
Bng4,TOKO OLEH OLEH KHAS BANJARNEGARA WIRARAJA,0,"Jl. Raya Batur, Batur, Banjarnegara, Jawa Tengah 53456","-7.2053826, 109.8245502",-7.2053826,109.8245502,
Bng5,Pusat oleh-oleh khas dieng,0,"Al Munawwaroh RT 01 RW 2, Kutabanjarnegara, Kec. Banjarnegara, Banjarnegara, Jawa Tengah 53415","-7.399022399999999, 109.6860076",-7.3990224,109.6860076,
Bng6,Pusat Oleh Oleh Barafood,0,"Sumberejo, Batur, Banjarnegara, Jawa Tengah 53456","-7.208220900000001, 109.8335818",-7.2082209,109.8335818,
Bng7,RIDAKA oleh-oleh,286479220,"Jl. A. Yani 576 Purwareja Klampok, Banjarnegara, Jawa Tengah","-7.4735307, 109.4291922",-7.4735307,109.4291922,
Bng8,Toko Megasari,0,"Jl. Kijagapati I No.33, Kutabanjarnegara, Krandegan, Kec. Banjarnegara.","-7.391007599999999, 109.6981634",-7.3910076,109.6981634,
Bng9,Warung Makan Soto Krandegan,0,"Alun alun Banjarnegara Jl. Dipayuda No.30A, Kel, Krandegan, Kec. Banjarnegara, Banjarnegara, Jawa Tengah 53474","-7.3950125, 109.6983059",-7.3950125,109.6983059,
Bng10,Dawet Ayu Banjarnegara,0,"Perumahan Karmel, Dusun Sidodadi, Purworejo, Kec. Purworejo Klampok, Banjarnegara, Jawa Tengah 53474","-7.477682499999998, 109.4419867",-7.4776825,109.4419867,
Bng11,Oemah Mendoan Raksasa Kang Sarwono,0,,#ERROR!,#ERROR!,,
Bng12,"Dawet Ayu Banjarnegara, Pak Sunardi",0,"Jl. Sunan Gripit, Rejasa, Madukara, Banjarnegara, Jawa Tengah 53482","-7.389059, 109.6938535",-7.389059,109.6938535,
Bng13,Bakso dan Dawet Ayu Asli Hj. Munardjo,0,"Jl. M.T. Haryono No.12-22, Krandegan, Kec. Banjarnegara, Banjarnegara, Jawa Tengah 53474","-7.394530499999999, 109.6991441",-7.3945305,109.6991441,
Bng14,Soto Khas Krandegan Bp Sukisno,0,"Jl. M.T. Haryono, RW.04, Krandegan, Kec. Banjarnegara, Banjarnegara, Jawa Tengah 53474","-7.395346, 109.6989274",-7.395346,109.6989274,
